Reservoir,Site,DateTime,ThermistorTemp_C_1,ThermistorTemp_C_2,ThermistorTemp_C_3,ThermistorTemp_C_4,ThermistorTemp_C_5,ThermistorTemp_C_6,ThermistorTemp_C_7,ThermistorTemp_C_8,ThermistorTemp_C_9,ThermistorTemp_C_10,ThermistorTemp_C_11,ThermistorTemp_C_12,ThermistorTemp_C_13,RDO_mgL_6,RDOsat_percent_6,RDOTemp_C_6,RDO_mgL_8,RDOsat_percent_8,RDOTemp_C_8,RDO_mgL_13,RDOsat_percent_13,RDOTemp_C_13,EXOTemp_C_1.5,EXOCond_uScm_1.5,EXOSpCond_uScm_1.5,EXOTDS_mgL_1.5,EXODOsat_percent_1.5,EXODO_mgL_1.5,EXOChla_RFU_1.5,EXOChla_ugL_1.5,EXOBGAPC_RFU_1.5,EXOBGAPC_ugL_1.5,EXOfDOM_RFU_1.5,EXOfDOM_QSU_1.5,EXOTurbidity_FNU_1.5,EXOPressure_psi,EXODepth_m,EXOBattery_V,EXOCablepower_V,EXOWiper_V,LvlPressure_psi_13,LvlDepth_m_13,LvlTemp_C_13,RECORD,CR6Battery_V,CR6Panel_Temp_C,Flag_ThermistorTemp_C_1,Flag_ThermistorTemp_C_2,Flag_ThermistorTemp_C_3,Flag_ThermistorTemp_C_4,Flag_ThermistorTemp_C_5,Flag_ThermistorTemp_C_6,Flag_ThermistorTemp_C_7,Flag_ThermistorTemp_C_8,Flag_ThermistorTemp_C_9,Flag_ThermistorTemp_C_10,Flag_ThermistorTemp_C_11,Flag_ThermistorTemp_C_12,Flag_ThermistorTemp_C_13,Flag_RDO_mgL_6,Flag_RDOsat_percent_6,Flag_RDOTemp_C_6,Flag_RDO_mgL_8,Flag_RDOsat_percent_8,Flag_RDOTemp_C_8,Flag_RDO_mgL_13,Flag_RDOsat_percent_13,Flag_RDOTemp_C_13,Flag_EXOTemp_C_1.5,Flag_EXOCond_uScm_1.5,Flag_EXOSpCond_uScm_1.5,Flag_EXOTDS_mgL_1.5,Flag_EXODOsat_percent_1.5,Flag_EXODO_mgL_1.5,Flag_EXOChla_RFU_1.5,Flag_EXOChla_ugL_1.5,Flag_EXOBGAPC_RFU_1.5,Flag_EXOBGAPC_ugL_1.5,Flag_EXOfDOM_RFU_1.5,Flag_EXOfDOM_QSU_1.5,Flag_EXOTurbidity_FNU_1.5,Flag_EXOPressure_psi,Flag_EXODepth_m,Flag_EXOBattery_V,Flag_EXOCablepower_V,Flag_EXOWiper_V,Flag_LvlPressure_psi_13,Flag_LvlTemp_C_13
BVR,50,2026-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29107,96.67314,2.21524,13.33553,97.23778,2.306656,2.215,26.13,46.26,30.07,94.29,12.96,1.21,3.54,1.04,0.9700000000000001,3.67,11.360000000000001,15.29,2.73,1.923,4.17,11.3,1.19,8.564789,6.03432208995,2.319536,40672,12.87,5.4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 00:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.28974,96.65842,2.213333,13.36035,97.37811,2.291283,2.219,26.12,46.24,30.06,94.29,12.96,1.3,3.87,1.06,0.9900000000000001,3.6799999999999997,11.4,15.25,2.75,1.934,4.18,11.28,1.19,8.565244,6.0346426602,2.302098,40673,12.87,5.443,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 00:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.27984,96.58827,2.21402,13.37227,97.40786,2.269699,2.218,26.12,46.24,30.06,94.26,12.96,1.24,3.6500000000000004,1.04,0.9800000000000001,3.6900000000000004,11.42,15.37,2.74,1.928,4.11,11.29,1.19,8.567772,6.0364237626,2.283726,40674,12.87,5.509,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 00:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.31284,96.83148,2.21524,13.38126,97.46369,2.266067,2.217,26.12,46.25,30.06,94.25,12.96,1.24,3.62,1.0099999999999998,0.9400000000000001,3.6500000000000004,11.31,15.46,2.74,1.927,4.09,11.29,1.19,8.566224,6.0353331192,2.274508,40675,12.88,5.633,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 00:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29783,96.78294,2.238235,13.39625,97.50733,2.241348,2.227,26.12,46.23,30.05,94.32,12.96,1.2,3.5,1.0499999999999998,0.9800000000000001,3.66,11.34,15.25,2.73,1.923,4.14,11.14,1.19,8.56549,6.0348159795,2.261389,40676,12.72,5.832,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 00:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29585,96.73381,2.22509,13.38299,97.36052,2.222328,2.249,26.15,46.24,30.06,94.3,12.95,1.1500000000000001,3.3200000000000003,1.0099999999999998,0.9400000000000001,3.67,11.370000000000001,15.530000000000001,2.74,1.927,4.08,11.13,1.19,8.566471,6.03550714305,2.243745,40677,12.69,6.181,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29099,96.73314,2.238235,13.40426,97.52838,2.227341,2.225,26.12,46.23,30.05,94.26,12.96,1.1600000000000001,3.3500000000000005,1.0099999999999998,0.9400000000000001,3.6799999999999997,11.41,15.33,2.74,1.926,4.16,11.12,1.19,8.568618,6.0370198119000005,2.250387,40678,12.71,6.525,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 01:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.32461,96.98484,2.241005,13.39425,97.47818,2.235825,2.225,26.11,46.21,30.04,94.27,12.96,1.19,3.4300000000000006,1.0299999999999998,0.9600000000000001,3.67,11.360000000000001,15.29,2.73,1.921,4.16,11.12,1.19,8.55666,6.028594803000001,2.257877,40679,12.79,6.783,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 01:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.30622,96.85097,2.241005,13.39856,97.53254,2.244461,2.227,26.13,46.25,30.06,94.25,12.95,1.1300000000000001,3.24,0.99,0.93,3.67,11.370000000000001,15.52,2.74,1.926,4.16,11.21,1.19,8.56705,6.0359150775,2.274622,40680,12.87,6.811,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
BVR,50,2026-01-01 01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.30323,96.82669,2.239967,13.40965,97.60625,2.241867,2.236,26.14,46.24,30.06,94.3,12.96,1.1600000000000001,3.3200000000000003,1.0099999999999998,0.9400000000000001,3.67,11.370000000000001,15.379999999999999,2.73,1.924,4.1,11.28,1.2,8.570632,6.0384387755999995,2.262577,40681,12.88,6.698,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0
