12/14/23 16:26:40 EST -0500 | ########## START ##########
12/14/23 16:26:40 EST -0500 | ##########  END  ##########
12/14/23 20:26:41 EST -0500 | ########## START ##########
12/14/23 20:26:41 EST -0500 | ##########  END  ##########
12/15/23 00:26:41 EST -0500 | ########## START ##########
12/15/23 00:26:41 EST -0500 | ##########  END  ##########
12/15/23 04:26:42 EST -0500 | ########## START ##########
12/15/23 04:26:42 EST -0500 | ##########  END  ##########
12/15/23 08:26:42 EST -0500 | ########## START ##########
12/15/23 08:26:42 EST -0500 | ##########  END  ##########
12/15/23 12:26:42 EST -0500 | ########## START ##########
12/15/23 12:26:42 EST -0500 | ##########  END  ##########
12/15/23 16:26:42 EST -0500 | ########## START ##########
12/15/23 16:26:42 EST -0500 | ##########  END  ##########
12/15/23 20:26:43 EST -0500 | ########## START ##########
12/15/23 20:26:43 EST -0500 | ##########  END  ##########
12/16/23 00:26:43 EST -0500 | ########## START ##########
12/16/23 00:26:43 EST -0500 | ##########  END  ##########
12/16/23 04:26:44 EST -0500 | ########## START ##########
12/16/23 04:26:44 EST -0500 | ##########  END  ##########
12/16/23 08:26:44 EST -0500 | ########## START ##########
12/16/23 08:26:44 EST -0500 | ##########  END  ##########
12/18/23 12:26:46 EST -0500 | ########## START ##########
12/18/23 12:26:46 EST -0500 | ##########  END  ##########
12/18/23 16:26:46 EST -0500 | ########## START ##########
12/18/23 16:26:46 EST -0500 | ##########  END  ##########
12/18/23 20:26:48 EST -0500 | ########## START ##########
12/18/23 20:26:48 EST -0500 | ##########  END  ##########
12/19/23 00:26:47 EST -0500 | ########## START ##########
12/19/23 00:26:47 EST -0500 | ##########  END  ##########
12/19/23 04:26:48 EST -0500 | ########## START ##########
12/19/23 04:26:48 EST -0500 | ##########  END  ##########
12/19/23 08:26:49 EST -0500 | ########## START ##########
12/19/23 08:26:49 EST -0500 | ##########  END  ##########
12/19/23 16:27:22 EST -0500 | ########## START ##########
12/19/23 16:27:22 EST -0500 | ##########  END  ##########
12/20/23 00:27:21 EST -0500 | ########## START ##########
12/20/23 00:27:21 EST -0500 | ##########  END  ##########
12/20/23 04:26:50 EST -0500 | ########## START ##########
12/20/23 04:26:50 EST -0500 | ##########  END  ##########
12/20/23 08:26:50 EST -0500 | ########## START ##########
12/20/23 08:26:50 EST -0500 | ##########  END  ##########
12/20/23 12:26:52 EST -0500 | ########## START ##########
12/20/23 12:26:52 EST -0500 | ##########  END  ##########
12/20/23 16:26:52 EST -0500 | ########## START ##########
12/20/23 16:26:52 EST -0500 | ##########  END  ##########
12/20/23 20:26:52 EST -0500 | ########## START ##########
12/20/23 20:26:52 EST -0500 | ##########  END  ##########
12/21/23 04:27:24 EST -0500 | ########## START ##########
12/21/23 04:27:24 EST -0500 | ##########  END  ##########
12/21/23 08:26:54 EST -0500 | ########## START ##########
12/21/23 08:26:54 EST -0500 | ##########  END  ##########
12/21/23 12:26:53 EST -0500 | ########## START ##########
12/21/23 12:26:53 EST -0500 | ##########  END  ##########
12/21/23 16:26:54 EST -0500 | ########## START ##########
12/21/23 16:26:54 EST -0500 | ##########  END  ##########
12/21/23 20:26:54 EST -0500 | ########## START ##########
12/21/23 20:26:54 EST -0500 | ##########  END  ##########
12/22/23 00:28:31 EST -0500 | ########## START ##########
12/22/23 00:28:31 EST -0500 | ##########  END  ##########
12/22/23 04:26:53 EST -0500 | ########## START ##########
12/22/23 04:26:53 EST -0500 | ##########  END  ##########
12/22/23 08:26:55 EST -0500 | ########## START ##########
12/22/23 08:26:55 EST -0500 | ##########  END  ##########
12/22/23 12:26:55 EST -0500 | ########## START ##########
12/22/23 12:26:55 EST -0500 | ##########  END  ##########
12/22/23 16:26:55 EST -0500 | ########## START ##########
12/22/23 16:26:55 EST -0500 | ##########  END  ##########
12/23/23 00:27:26 EST -0500 | ########## START ##########
12/23/23 00:27:26 EST -0500 | ##########  END  ##########
12/23/23 04:26:55 EST -0500 | ########## START ##########
12/23/23 04:26:55 EST -0500 | ##########  END  ##########
12/23/23 08:26:56 EST -0500 | ########## START ##########
12/23/23 08:26:56 EST -0500 | ##########  END  ##########
12/23/23 12:26:56 EST -0500 | ########## START ##########
12/23/23 12:26:56 EST -0500 | ##########  END  ##########
