12/14/23 16:25:11 EST -0500 | ########## START ##########
12/14/23 16:25:11 EST -0500 | Battery power mode
12/14/23 16:25:11 EST -0500 | Shutdown scheduled for Thu 2023-12-14 16:55:11 EST, use 'shutdown -c' to cancel.
12/14/23 16:25:11 EST -0500 | ##########  END  ##########
12/14/23 20:25:11 EST -0500 | ########## START ##########
12/14/23 20:25:11 EST -0500 | Battery power mode
12/14/23 20:25:11 EST -0500 | Shutdown scheduled for Thu 2023-12-14 20:55:11 EST, use 'shutdown -c' to cancel.
12/14/23 20:25:11 EST -0500 | ##########  END  ##########
12/15/23 00:25:12 EST -0500 | ########## START ##########
12/15/23 00:25:12 EST -0500 | Battery power mode
12/15/23 00:25:12 EST -0500 | Shutdown scheduled for Fri 2023-12-15 00:55:12 EST, use 'shutdown -c' to cancel.
12/15/23 00:25:12 EST -0500 | ##########  END  ##########
12/15/23 04:25:12 EST -0500 | ########## START ##########
12/15/23 04:25:12 EST -0500 | Battery power mode
12/15/23 04:25:12 EST -0500 | Shutdown scheduled for Fri 2023-12-15 04:55:12 EST, use 'shutdown -c' to cancel.
12/15/23 04:25:12 EST -0500 | ##########  END  ##########
12/15/23 08:25:12 EST -0500 | ########## START ##########
12/15/23 08:25:12 EST -0500 | Battery power mode
12/15/23 08:25:12 EST -0500 | Shutdown scheduled for Fri 2023-12-15 08:55:12 EST, use 'shutdown -c' to cancel.
12/15/23 08:25:12 EST -0500 | ##########  END  ##########
12/15/23 12:25:13 EST -0500 | ########## START ##########
12/15/23 12:25:13 EST -0500 | Battery power mode
12/15/23 12:25:13 EST -0500 | Shutdown scheduled for Fri 2023-12-15 12:55:13 EST, use 'shutdown -c' to cancel.
12/15/23 12:25:13 EST -0500 | ##########  END  ##########
12/15/23 16:25:12 EST -0500 | ########## START ##########
12/15/23 16:25:12 EST -0500 | Battery power mode
12/15/23 16:25:13 EST -0500 | Shutdown scheduled for Fri 2023-12-15 16:55:13 EST, use 'shutdown -c' to cancel.
12/15/23 16:25:13 EST -0500 | ##########  END  ##########
12/15/23 20:25:13 EST -0500 | ########## START ##########
12/15/23 20:25:13 EST -0500 | Battery power mode
12/15/23 20:25:13 EST -0500 | Shutdown scheduled for Fri 2023-12-15 20:55:13 EST, use 'shutdown -c' to cancel.
12/15/23 20:25:13 EST -0500 | ##########  END  ##########
12/16/23 00:25:13 EST -0500 | ########## START ##########
12/16/23 00:25:13 EST -0500 | Battery power mode
12/16/23 00:25:14 EST -0500 | Shutdown scheduled for Sat 2023-12-16 00:55:14 EST, use 'shutdown -c' to cancel.
12/16/23 00:25:14 EST -0500 | ##########  END  ##########
12/16/23 04:25:14 EST -0500 | ########## START ##########
12/16/23 04:25:14 EST -0500 | Battery power mode
12/16/23 04:25:14 EST -0500 | Shutdown scheduled for Sat 2023-12-16 04:55:14 EST, use 'shutdown -c' to cancel.
12/16/23 04:25:14 EST -0500 | ##########  END  ##########
12/16/23 08:25:14 EST -0500 | ########## START ##########
12/16/23 08:25:14 EST -0500 | Battery power mode
12/16/23 08:25:14 EST -0500 | Shutdown scheduled for Sat 2023-12-16 08:55:14 EST, use 'shutdown -c' to cancel.
12/16/23 08:25:14 EST -0500 | ##########  END  ##########
12/18/23 12:25:17 EST -0500 | ########## START ##########
12/18/23 12:25:17 EST -0500 | Battery power mode
12/18/23 12:25:17 EST -0500 | Shutdown scheduled for Mon 2023-12-18 12:55:17 EST, use 'shutdown -c' to cancel.
12/18/23 12:25:17 EST -0500 | ##########  END  ##########
12/18/23 16:25:17 EST -0500 | ########## START ##########
12/18/23 16:25:17 EST -0500 | Battery power mode
12/18/23 16:25:17 EST -0500 | Shutdown scheduled for Mon 2023-12-18 16:55:17 EST, use 'shutdown -c' to cancel.
12/18/23 16:25:17 EST -0500 | ##########  END  ##########
